PlayerID,FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp,Year,Duplicate
uno1DW,Borek,Dockal,PHI,M,"1714285.68","1714285.68",2018,uaYnfbuw
XiZaIV,Derek,Dodson,ORL,F,"63547.00","63547.00",2021,KMAuE0Zn
XiZaIV,Derek,Dodson,MNUFC,D,"89716.00","89716.00",2024,CSCPccQO
XiZaIV,Derek,Dodson,DC,D,"104000.00","110250.00",2025 Sp,fwBDUgqU
qLIkMt,Francis,Doe,RBNY,F,"48000.0","48000.0",2007,K5jJUCuX
qLIkMt,Francis,Doe,DC,F,"33000.0","40500.0",2008,wGWkJsDj
PhjODI,Cecilio,Dominguez,ATX,M-F,"81375.00","287375.00",2020,TBMaQc8h
PhjODI,Cecilio,Dominguez,ATX,F,"1530000.00","1736000.00",2021,I9qKuA2V
3n8729,Eduardo,Dominguez,LA,D,"192000.0","192000.0",2008,Y25USY46
S0XZan,Jon Erice,Dominguez,VAN,M,"654545.52","752363.70",2019,COIdUC1D
xOablk,Maxime,Dominguez,TOR,M,"235000.00","337577.00",2025 Sp,efr5FRxw
N77ECM,Roberto,Dominguez,VAN,D,"54504.00","61465.66",2018,LT4e8Lln
7nJqUN,Marco,Donadel,MTL,M,"190003.92","226670.59",2015,tubkPGum
7nJqUN,Marco,Donadel,MTL,M,"350000.0","386666.67",2016,JEEDbLAL
7nJqUN,Marco,Donadel,MTL,M,"349992.0","386658.67",2017,eofDOGOZ
VfV4nV,Irakoze,Donasiyano,NSH,M-D,"63547.00","63547.00",2021,fhDLYiJG
VfV4nV,Irakoze,Donasiyano,NSH,M-D,"66724.00","66724.00",2022,NB92bQR9
YBq3qj,Ronald,Donkor,RBNY,M,"120000.00","145400.00",2023,AimulN1e
YBq3qj,Ronald,Donkor,RBNY,M,"130000.00","155400.00",2024,V2P7dafG
YBq3qj,Ronald,Donkor,RBNY,M,"140000.00","165400.00",2025 Sp,9UtIuHla
3PsYnd,Chris,Donovan,PHI,F,"65500.00","65500.00",2022,Fb2ABjPG
3PsYnd,Chris,Donovan,PHI,F,"68775.00","68775.00",2023,ZPNTGJpI
3PsYnd,Chris,Donovan,PHI,F,"89716.00","109872.00",2024,8cWzNsyn
3PsYnd,Chris,Donovan,PHI,F,"180000.00","200156.00",2025 Sp,qbCTEfxW
4FF5Kn,Conor,Donovan,ORL,D,"80000.0","108000.0",2015,5Rx4SY7r
4FF5Kn,Conor,Donovan,ORL,D,"90000.0","118000.0",2016,3yeHLDcm
4FF5Kn,Conor,Donovan,ORL,D,"100000.0","128000.0",2017,wDfh1EFs
4FF5Kn,Conor,Donovan,HOU,D,"54500.04","54500.04",2018,noixjUyR
x8jkyb,Landon,Donovan,LA,F,"900000.0","900000.0",2007,bg0vI8aA
x8jkyb,Landon,Donovan,LA,F,"900000.0","900000.0",2008,13DUuhu5
x8jkyb,Landon,Donovan,LA,F,"900000.0","900000.0",2009,oHst9VfV
x8jkyb,Landon,Donovan,LA,F,"2050000.0","2127777.78",2010,5EEDheWy
x8jkyb,Landon,Donovan,LA,F,"2300000.0","2300000.0",2011,2bRztJms
x8jkyb,Landon,Donovan,LA,F,"2400000.0","2400000.0",2012,LDKdZQP0
x8jkyb,Landon,Donovan,LA,F,"2500000.0","2500000.0",2013,fEx3L8XQ
x8jkyb,Landon,Donovan,LA,F,"4250000.0","4583333.33",2014,IpWeWIAt
ZKd6DL,Grayson,Doody,MTL,D,"71401.00","73682.00",2024,rlF3RzZF
7owidh,Patrick,Doody,CHI,D,"50000.0","50000.0",2015,QYQ5N2aF
7owidh,Patrick,Doody,CHI,D,"53471.0","53471.0",2016,AmEODWRV
7owidh,Patrick,Doody,CHI,D,"65000.0","65000.0",2017,EwVCUa7G
FD8AFH,Andy,Dorman,NE,M,"30870.0","30870.0",2007,lEFtyAc5
FD8AFH,Andy,Dorman,NE,M,"125000.0","125000.0",2013,Fv6SPx4T
FD8AFH,Andy,Dorman,NE,M,"135000.0","135000.0",2014,UGwSDLJl
FD8AFH,Andy,Dorman,NE,M,"145000.0","145000.0",2015,Q1dDuOvG
TRdy6D,Griffin,Dorsey,TOR,M-F,"90000.00","134000.00",2019,JHcRUYjS
TRdy6D,Griffin,Dorsey,TOR,M,"100000.00","119000.00",2020,LZaEX2nY
TRdy6D,Griffin,Dorsey,HOU,D,"110000.00","129000.00",2021,Y6tptu6R
TRdy6D,Griffin,Dorsey,HOU,D,"125000.00","144000.00",2022,4tiGB4KI
TRdy6D,Griffin,Dorsey,HOU,D,"150000.00","165000.00",2023,0WOpj5tP
TRdy6D,Griffin,Dorsey,HOU,D,"475000.00","529667.00",2024,iJmmpJdX
TRdy6D,Griffin,Dorsey,HOU,D,"540000.00","594667.00",2025 Sp,CznS1nvd
ikHVOp,Gilberto,Dos Santos,PHI,M,"60000.0","80000.0",2013,ufYEZVBw
k3iSkE,Giovani,Dos Santos,LA,M,"4000008.0","5750008.0",2015,2tTYU3TG
k3iSkE,Giovani,Dos Santos,LA,F,"2500000.0","4250000.0",2016,VqpO4CVW
k3iSkE,Giovani,Dos Santos,LA,F,"3750000.0","5500000.0",2017,JPoo2UuS
k3iSkE,Giovani,Dos Santos,LA,F,"4250000.00","6000000.00",2018,gtzuDpgE
6vGhkx,Alex,Dos Santos Cazumba,LA,D,"70000.0","80000.0",2010,WNJE9r2m
n80Wf5,Hassani,Dotson,MNUFC,M,"56250.00","56250.00",2019,gQMNBAmg
n80Wf5,Hassani,Dotson,MNUFC,M-D,"63547.00","63547.00",2020,pYfYKyQ6
n80Wf5,Hassani,Dotson,MNUFC,M-D,"81375.00","81375.00",2021,FVaI6RHW
n80Wf5,Hassani,Dotson,MNUFC,M-D,"400000.00","457500.00",2022,EfVcrL2H
n80Wf5,Hassani,Dotson,MNUFC,M,"450000.00","507500.00",2023,XrqLuj5Y
n80Wf5,Hassani,Dotson,MNUFC,M,"500000.00","557500.00",2024,V5nQVFEt
n80Wf5,Hassani,Dotson,MNUFC,M,"625000.00","682500.00",2025 Sp,Yk3qLEXZ
rNLwG5,Ousmane,Doumbia,CHI,D-M,"420000.00","564000.00",2023,hqtI8UQ6
F2rPau,Souleyman,Doumbia,CLT,D,"500000.00","541250.00",2025 Sp,JQTIRNF6
nrXfRB,Toni,Dovale,KC,D,"180000.0","185000.0",2014,rsjyLieF
5YQJ13,Bryan,Dowd,CHI,GK,"71401.00","71401.00",2024,S1XzQAQP
5YQJ13,Bryan,Dowd,CHI,GK,"80622.00","80622.00",2025 Sp,w8Cn3jbt
MqfDK7,Conor,Doyle,DC,F,"46500.0","46500.0",2013,Zm6JdBdj
MqfDK7,Conor,Doyle,DC,F,"48500.0","49750.0",2014,MAm30SL0
